,id,data_set,data_set_label,indicator,period_type,period_from,period_to,country_key,country_label,bz_key,bz_short,bz_long,operator_key,operator_label,tso_eic_code,direction_key,adjacent_systems_key,adjacent_systems_label,year,month,day,unit,value,count_point_presents,flow_status,points_names,last_update_date_time,region_key,adjacent_bz_key
238,1AggregatesDEDE-GASPOOL-DE-TSO-0009entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,1659658.0,1,Provisionnal,Dornum GASPOOL,2021-01-04T12:59:41+01:00,NWE,-----------
239,1AggregatesDEDE-GASPOOL-DE-TSO-0009entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,18712844.4,1,Provisionnal,Dornum GASPOOL,2021-01-05T12:41:06+01:00,NWE,-----------
246,1AggregatesDEDE-NCG-----DE-TSO-0009entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,9319697.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-02-01T09:50:30+01:00,NWE,-----------
247,1AggregatesDEDE-NCG-----DE-TSO-0009entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,10522337.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-04T12:59:41+01:00,NWE,-----------
248,1AggregatesDEDE-NCG-----DE-TSO-0009entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,18712844.4,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-05T12:41:06+01:00,NWE,-----------
271,1AggregatesDEDE-GASPOOL-DE-TSO-0009exitTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Dornum GASPOOL,2021-01-05T12:41:02+01:00,NWE,-----------
272,1AggregatesDEDE-GASPOOL-DE-TSO-0009exitTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Dornum GASPOOL,2021-01-04T12:59:41+01:00,NWE,-----------
273,1AggregatesDEDE-GASPOOL-DE-TSO-0009exitTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Dornum GASPOOL,2021-01-05T12:41:06+01:00,NWE,-----------
279,1AggregatesDEDE-NCG-----DE-TSO-0009exitTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-05T12:41:02+01:00,NWE,-----------
280,1AggregatesDEDE-NCG-----DE-TSO-0009exitTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-04T12:59:41+01:00,NWE,-----------
281,1AggregatesDEDE-NCG-----DE-TSO-0009exitTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-05T12:41:06+01:00,NWE,-----------
304,1AggregatesDEDE-GASPOOL-DE-TSO-0016entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0016,OPAL Gastransport GmbH & Co. KG,21X0000000011845,entry,Transmission,Transmission,2021,1,2,kWh/h,15864541.0,1,Provisionnal,Greifswald / OPAL,2021-01-02T12:43:05+01:00,NWE,-----------
305,1AggregatesDEDE-GASPOOL-DE-TSO-0016entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0016,OPAL Gastransport GmbH & Co. KG,21X0000000011845,entry,Transmission,Transmission,2021,1,2,kWh/h,15864541.0,1,Provisionnal,Greifswald / OPAL,2021-01-02T05:32:57+01:00,NWE,-----------
306,1AggregatesDEDE-GASPOOL-DE-TSO-0016entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0016,OPAL Gastransport GmbH & Co. KG,21X0000000011845,entry,Transmission,Transmission,2021,1,2,kWh/h,24295524.0,1,Provisionnal,Greifswald / OPAL,2021-02-08T05:50:46+01:00,NWE,-----------
310,1AggregatesDEDE-GASPOOL-DE-TSO-0017entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0017,NEL Gastransport GmbH,21X000000001143J,entry,Transmission,Transmission,2021,1,2,kWh/h,14291845.0,1,Provisionnal,Greifswald / NEL,2021-01-02T12:43:05+01:00,NWE,-----------
311,1AggregatesDEDE-GASPOOL-DE-TSO-0017entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0017,NEL Gastransport GmbH,21X000000001143J,entry,Transmission,Transmission,2021,1,2,kWh/h,14291845.0,1,Provisionnal,Greifswald / NEL,2021-01-02T05:32:57+01:00,NWE,-----------
312,1AggregatesDEDE-GASPOOL-DE-TSO-0017entryTransmission2021-01-02T04:00:00+00:002021-01-02T05:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T05:00:00+01:00,2021-01-02T06:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0017,NEL Gastransport GmbH,21X000000001143J,entry,Transmission,Transmission,2021,1,2,kWh/h,48378626.0,1,Provisionnal,Greifswald / NEL,2021-02-08T05:50:46+01:00,NWE,-----------
