;adjacent_bz_key;adjacent_systems_label;bz_key;country_key;direction_key;indicator;period_from;period_to;region_key;value
63;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;857726644.0
64;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-36650928.0
65;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-304515433.1
66;-----------;Production;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;57918869.0
67;-----------;Production;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;67622104.0
68;-----------;Production;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;128939119.37
69;-----------;Storage;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;759903612.0
70;-----------;Storage;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;759903612.0
71;-----------;Storage;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;829866244.772
72;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;1835966417.0
73;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;1835966417.0
74;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;3958457512.9
75;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-1256710639.0
76;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-1256710639.0
77;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-2904254161.0
78;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-166407576.0
79;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-166407576.0
80;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-631161630.0
81;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-88416144.0
82;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-88416144.0
83;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-62106577.0
84;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-66360784.0
85;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-66360784.0
86;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-71555314.0
87;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-254003528.0
88;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-254003528.0
89;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-367719781.0
90;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-3912000.0
91;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-3912000.0
92;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;-4052589.0
93;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;857215624.0
94;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;857215624.0
95;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;857327397.0
96;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-38783544.0
97;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-347552633.7
98;-----------;Production;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;58450927.0
99;-----------;Production;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;69268920.0
100;-----------;Production;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;131205283.39
101;-----------;Storage;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;1043683828.0
102;-----------;Storage;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;1043683828.0
103;-----------;Storage;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;1489238508.7
104;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;1864860865.0
105;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;1828045417.0
106;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;3909516316.7
107;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-1391336280.0
108;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-1391336280.0
109;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-3189869656.0
110;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-166407360.0
111;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-166407360.0
112;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-592712791.0
113;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-74094144.0
114;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-74094144.0
115;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-45121381.0
116;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-74936784.0
117;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-74936784.0
118;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-79411650.0
119;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-230285964.0
120;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-232373964.0
121;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-364898206.0
122;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-3912000.0
123;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-3912000.0
124;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;-4021828.0
125;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Allocation;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;857307408.0
126;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;857307408.0
127;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;WE;857302350.0
128;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-40764276.0
129;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;-373825758.5
130;-----------;Production;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;57457717.0
131;-----------;Production;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;69384694.0
132;-----------;Production;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;130358921.141
133;-----------;Storage;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;1175944679.0
134;-----------;Storage;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;1175944679.0
135;-----------;Storage;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;1760813103.3
136;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;1766361070.0
137;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-05T06:00:00+01:00;2021-01-06T06:00:00+01:00;WE;1766361070.0
