;period_from;period_to;point_type;cross_border_point_type;eu_relationship;region_key;adjacent_region_key;indicator;direction_key;value
71;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;exit;0.0
72;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;entry;2878079146.7999997
73;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;exit;0.0
74;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;entry;4702373160.0
75;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;exit;5055112116.0
76;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;entry;0.0
77;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;exit;158823300.0
78;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;entry;3253808225.766
79;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;exit;2883938912.3999996
80;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;entry;330181181.8
81;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;exit;29351502.0
82;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;entry;1026218508.0
