;period_from;period_to;region_key;country_key;adjacent_bz_key;adjacent_systems_key;adjacent_systems_label;indicator;direction_key;note;value
24;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;BE-LUX------;TransmissionBE-LUX------;BeLux;Nomination/Renomination;exit;;0.0
25;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;BE-LUX------;TransmissionBE-LUX------;BeLux;Physical Flow;entry;;0.0
26;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;BE-LUX------;TransmissionBE-LUX------;BeLux;Physical Flow;exit;;0.0
27;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;Nomination/Renomination;entry;;0.0
28;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;Nomination/Renomination;exit;;0.0
29;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;Physical Flow;entry;;89000688.0
30;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;Physical Flow;exit;;0.0
31;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;DE-NCG-----;TransmissionDE-NCG-----;NCG;Nomination/Renomination;entry;;0.0
32;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;DE-NCG-----;TransmissionDE-NCG-----;NCG;Nomination/Renomination;exit;;0.0
33;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;DE-NCG-----;TransmissionDE-NCG-----;NCG;Physical Flow;entry;;34031392.0
34;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;DE-NCG-----;TransmissionDE-NCG-----;NCG;Physical Flow;exit;;0.0
35;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;FR----------;TransmissionFR----------;TRF;Nomination/Renomination;entry;;0.0
36;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;FR----------;TransmissionFR----------;TRF;Nomination/Renomination;exit;;0.0
37;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;FR----------;TransmissionFR----------;TRF;Physical Flow;entry;;0.0
38;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;FR----------;TransmissionFR----------;TRF;Physical Flow;exit;;311270325.0
39;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;NL---------;TransmissionNL---------;Netherlands;Nomination/Renomination;entry;;0.0
40;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;NL---------;TransmissionNL---------;Netherlands;Nomination/Renomination;exit;;0.0
41;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;NL---------;TransmissionNL---------;Netherlands;Physical Flow;entry;;568167052.0
42;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;NL---------;TransmissionNL---------;Netherlands;Physical Flow;exit;;0.0
43;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;UK-IUK-----;TransmissionUK-IUK-----;IUK;Nomination/Renomination;entry;;0.0
44;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;UK-IUK-----;TransmissionUK-IUK-----;IUK;Nomination/Renomination;exit;;0.0
45;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;UK-IUK-----;TransmissionUK-IUK-----;IUK;Physical Flow;entry;;0.0
46;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;NWE;BE;UK-IUK-----;TransmissionUK-IUK-----;IUK;Physical Flow;exit;;392200936.0
47;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Distribution;Distribution;Allocation;entry;;159475.0
48;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Distribution;Distribution;Allocation;exit;;459575592.0
49;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Distribution;Distribution;Physical Flow;entry;;0.0
50;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Distribution;Distribution;Physical Flow;exit;;459416117.0
51;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Final Consumers;Final Consumers;Allocation;entry;;0.0
52;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Final Consumers;Final Consumers;Allocation;exit;;282131690.0
53;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Final Consumers;Final Consumers;Physical Flow;exit;;282469477.0
54;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;LNG Terminals;LNG Terminals;Nomination/Renomination;entry;;0.0
55;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;LNG Terminals;LNG Terminals;Nomination/Renomination;exit;;0.0
56;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;LNG Terminals;LNG Terminals;Physical Flow;entry;;69845265.0
57;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;LNG Terminals;LNG Terminals;Physical Flow;exit;;0.0
58;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Storage;Storage;Nomination/Renomination;entry;;0.0
59;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Storage;Storage;Nomination/Renomination;exit;;0.0
60;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Storage;Storage;Physical Flow;entry;;121719190.0
61;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Storage;Storage;Physical Flow;exit;;0.0
62;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Transmission;Norway;Nomination/Renomination;entry;Gassco;0.0
63;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Transmission;Norway;Nomination/Renomination;exit;Gassco;0.0
64;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Transmission;Norway;Physical Flow;entry;Gassco;468267389.0
65;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;-----------;Transmission;Norway;Physical Flow;exit;Gassco;0.0
66;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;BE-L-ZONE--;TransmissionBE-L-ZONE--;L-Zone;Nomination/Renomination;entry;;0.0
67;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;BE-L-ZONE--;TransmissionBE-L-ZONE--;L-Zone;Nomination/Renomination;exit;;0.0
68;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;BE-L-ZONE--;TransmissionBE-L-ZONE--;L-Zone;Physical Flow;entry;;0.0
69;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;BE-L-ZONE--;TransmissionBE-L-ZONE--;L-Zone;Physical Flow;exit;;0.0
70;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;BE-LUX------;TransmissionBE-LUX------;BeLux;Nomination/Renomination;entry;;0.0
71;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;BE-LUX------;TransmissionBE-LUX------;BeLux;Nomination/Renomination;exit;;0.0
72;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;BE-LUX------;TransmissionBE-LUX------;BeLux;Physical Flow;entry;;0.0
73;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;BE-LUX------;TransmissionBE-LUX------;BeLux;Physical Flow;exit;;0.0
74;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;Nomination/Renomination;entry;;0.0
75;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;Nomination/Renomination;exit;;0.0
76;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;Physical Flow;entry;;73272406.0
77;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;DE-GASPOOL-;TransmissionDE-GASPOOL-;GASPOOL;Physical Flow;exit;;0.0
78;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;DE-NCG-----;TransmissionDE-NCG-----;NCG;Nomination/Renomination;entry;;0.0
79;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;DE-NCG-----;TransmissionDE-NCG-----;NCG;Nomination/Renomination;exit;;0.0
80;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;DE-NCG-----;TransmissionDE-NCG-----;NCG;Physical Flow;entry;;42572025.0
81;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;DE-NCG-----;TransmissionDE-NCG-----;NCG;Physical Flow;exit;;0.0
82;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;FR----------;TransmissionFR----------;TRF;Nomination/Renomination;entry;;0.0
83;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;FR----------;TransmissionFR----------;TRF;Nomination/Renomination;exit;;0.0
84;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;FR----------;TransmissionFR----------;TRF;Physical Flow;entry;;423884.0
85;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;FR----------;TransmissionFR----------;TRF;Physical Flow;exit;;168330003.0
86;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;NL---------;TransmissionNL---------;Netherlands;Nomination/Renomination;entry;;0.0
87;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;NL---------;TransmissionNL---------;Netherlands;Nomination/Renomination;exit;;0.0
88;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;NL---------;TransmissionNL---------;Netherlands;Physical Flow;entry;;549888327.0
89;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;NL---------;TransmissionNL---------;Netherlands;Physical Flow;exit;;0.0
90;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;UK-IUK-----;TransmissionUK-IUK-----;IUK;Nomination/Renomination;entry;;0.0
91;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;UK-IUK-----;TransmissionUK-IUK-----;IUK;Nomination/Renomination;exit;;0.0
92;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;UK-IUK-----;TransmissionUK-IUK-----;IUK;Physical Flow;entry;;0.0
93;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;NWE;BE;UK-IUK-----;TransmissionUK-IUK-----;IUK;Physical Flow;exit;;407655924.0
0;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Final Consumers;Final Consumers;Allocation;exit;;88824020.0
1;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Final Consumers;Final Consumers;Nomination/Renomination;exit;;97804696.0
2;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Final Consumers;Final Consumers;Physical Flow;exit;;88921123.0
3;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Production;Production;Allocation;entry;;1145291.0
4;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Production;Production;Nomination/Renomination;entry;;1159710.0
5;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Production;Production;Physical Flow;entry;;1145291.0
6;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Storage;Storage;Allocation;entry;;38592035.0
7;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Storage;Storage;Allocation;exit;;0.0
8;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Storage;Storage;Nomination/Renomination;entry;;40323219.0
9;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Storage;Storage;Nomination/Renomination;exit;;0.0
10;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Storage;Storage;Physical Flow;entry;;35522882.0
11;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;-----------;Storage;Storage;Physical Flow;exit;;0.0
12;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;BG-GTNTT---;TransmissionBG-GTNTT---;GTNTT-BG;Allocation;entry;;64085777.0
13;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;BG-GTNTT---;TransmissionBG-GTNTT---;GTNTT-BG;Allocation;exit;;851654.0
14;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;BG-GTNTT---;TransmissionBG-GTNTT---;GTNTT-BG;Nomination/Renomination;entry;;64085777.0
15;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;BG-GTNTT---;TransmissionBG-GTNTT---;GTNTT-BG;Nomination/Renomination;exit;;851654.0
16;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;BG-GTNTT---;TransmissionBG-GTNTT---;GTNTT-BG;Physical Flow;entry;;35821028.0
17;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;BG-GTNTT---;TransmissionBG-GTNTT---;GTNTT-BG;Physical Flow;exit;;0.0
18;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;GR---------;TransmissionGR---------;Greece;Allocation;entry;;7420000.0
19;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;GR---------;TransmissionGR---------;Greece;Allocation;exit;;93964264.0
20;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;GR---------;TransmissionGR---------;Greece;Nomination/Renomination;entry;;7420000.0
21;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;GR---------;TransmissionGR---------;Greece;Nomination/Renomination;exit;;93964264.0
22;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;GR---------;TransmissionGR---------;Greece;Physical Flow;entry;;0.0
23;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;GR---------;TransmissionGR---------;Greece;Physical Flow;exit;;86638271.0
24;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;RO---------;TransmissionRO---------;RO_NTS;Allocation;entry;;1308000.0
25;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;RO---------;TransmissionRO---------;RO_NTS;Allocation;exit;;0.0
26;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;RO---------;TransmissionRO---------;RO_NTS;Nomination/Renomination;entry;;1308000.0
27;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;CE;BG;RO---------;TransmissionRO---------;RO_NTS;Nomination/Renomination;exit;;0.0
