;id;message_id;market_participant_key;market_participant_eic;market_participant_name;message_type;publication_date_time;thread_id;version_number;event_status;event_type;event_start;event_stop;unavailability_type;unavailability_reason;unit_measure;balancing_zone_key;balancing_zone_eic;balancing_zone_name;affected_asset_identifier;affected_asset_name;affected_asset_eic;direction;unavailable_capacity;available_capacity;technical_capacity;remarks;last_update_date_time;share_point_point_id;is_latest_version;share_point_publication_id;u_m_m_type;is_archived
60;2012000121X000000001132O001;20120221X000000001132O001_001;DE-TSO-0006;21X000000001132O;Gastransport Nord GmbH;Other;2020-12-02T15:17:48+01:00;20120221X000000001132O001;001;Active;;2020-12-09T06:00:00+01:00;;;;;;;;;;;;;;;Due to maintenance work on our IT system processing of nomination messages, matching messages and capacity bookings will not be possible during this period. We will inform you as soon as the IT system is working properly again. ;2020-12-02T15:40:39+01:00;;No;21X000000001132OAutomatic20120001;Automatic;
61;2012000121X000000001132O002;20120221X000000001132O001_002;DE-TSO-0006;21X000000001132O;Gastransport Nord GmbH;Other;2020-12-02T15:36:47+01:00;20120221X000000001132O001;002;Active;;2020-12-09T09:00:00+01:00;;;;;;;;;;;;;;;Due to maintenance work on our IT system processing of nomination messages, matching messages and capacity bookings will not be possible during this period. We will inform you as soon as the IT system is working properly again. ;2020-12-09T12:41:05+01:00;;No;21X000000001132OAutomatic20120001;Automatic;
62;19021X-DE-D-A0A0A-K001;20120421X-DE-D-A0A0A-K001_001;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-12-04T12:19:00+01:00;20120421X-DE-D-A0A0A-K001;001;Active;;2020-12-04T12:19:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-12-04T13:50:51+01:00;;No;21X-DE-D-A0A0A-KAutomatic190;Automatic;
63;18921X-DE-D-A0A0A-K002;20120121X-DE-D-A0A0A-K001_002;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-12-04T12:28:00+01:00;20120121X-DE-D-A0A0A-K001;002;Dismissed;;2020-12-01T20:15:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-12-04T12:31:59+01:00;;Yes;21X-DE-D-A0A0A-KAutomatic189;Automatic;
64;19021X-DE-D-A0A0A-K002;20120421X-DE-D-A0A0A-K001_002;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-12-04T13:44:00+01:00;20120421X-DE-D-A0A0A-K001;002;Dismissed;;2020-12-04T12:19:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-12-04T13:50:51+01:00;;Yes;21X-DE-D-A0A0A-KAutomatic190;Automatic;
65;2012000121X000000001132O004;20120221X000000001132O001_004;DE-TSO-0006;21X000000001132O;Gastransport Nord GmbH;Other;2020-12-10T10:51:45+01:00;20120221X000000001132O001;004;Active;;2020-12-09T06:00:00+01:00;;;;;;;;;;;;;;;Due to maintenance work on our IT system processing of nomination messages, matching messages and capacity bookings will not be possible during this period. We will inform you as soon as the IT system is working properly again. ;2021-01-05T11:08:26+01:00;;No;21X000000001132OAutomatic20120001;Automatic;
66;4130001;20122021X000000001376X001_001;AL-TSO-0001;21X000000001376X;Trans Adriatic Pipeline AG;Other;2020-12-20T15:11:33+01:00;20122021X000000001376X001;001;Active;;2020-12-20T15:30:00+01:00;;;;;;;;;;;;;;;For the IP Nea Mesimvria, TAP has published on PRISMA Capacity Booking Platform the available capacity for the January 2021 monthly auction. This auction will be run on 21 December 2020, in accordance with ENTSOG Auction Calendar. The commercialisation of day-ahead capacity will start within the following days.;2020-12-20T15:15:22+01:00;0.0;Yes;21X000000001376XManual413;;
67;19121X-DE-D-A0A0A-K001;20122321X-DE-D-A0A0A-K001_001;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-12-23T16:50:00+01:00;20122321X-DE-D-A0A0A-K001;001;Active;;2020-12-23T16:48:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-12-23T17:20:47+01:00;;No;21X-DE-D-A0A0A-KAutomatic191;Automatic;
68;19221X-DE-D-A0A0A-K001;20122921X-DE-D-A0A0A-K001_001;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-12-29T00:22:00+01:00;20122921X-DE-D-A0A0A-K001;001;Active;;2020-12-29T00:21:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-12-29T01:50:39+01:00;;No;21X-DE-D-A0A0A-KAutomatic192;Automatic;
69;19321X-DE-D-A0A0A-K001;20122921X-DE-D-A0A0A-K002_001;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-12-29T20:34:00+01:00;20122921X-DE-D-A0A0A-K002;001;Active;;2020-12-29T20:33:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-12-29T22:00:25+01:00;;No;21X-DE-D-A0A0A-KAutomatic193;Automatic;
