;adjacent_bz_key;adjacent_systems_label;country_key;direction_key;indicator;period_from;period_to;region_key;value
62;-----------;Transmission;BE;entry;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
63;-----------;Transmission;BE;exit;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
64;-----------;Transmission;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;468267389
65;-----------;Transmission;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
66;BE-L-ZONE--;L-Zone;BE;entry;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
67;BE-L-ZONE--;L-Zone;BE;exit;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
68;BE-L-ZONE--;L-Zone;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
69;BE-L-ZONE--;L-Zone;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
70;DE-GASPOOL-;GASPOOL;BE;entry;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
71;DE-GASPOOL-;GASPOOL;BE;exit;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
72;DE-GASPOOL-;GASPOOL;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;73272406
73;DE-GASPOOL-;GASPOOL;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
74;DE-NCG-----;NCG;BE;entry;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
75;DE-NCG-----;NCG;BE;exit;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
76;DE-NCG-----;NCG;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;42572025
77;DE-NCG-----;NCG;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
78;E-LUX------;BeLux;BE;entry;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
79;E-LUX------;BeLux;BE;exit;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
80;E-LUX------;BeLux;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
81;E-LUX------;BeLux;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
82;NL---------;Netherlands;BE;entry;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
83;NL---------;Netherlands;BE;exit;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
84;NL---------;Netherlands;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;549888327
85;NL---------;Netherlands;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
86;R----------;TRF;BE;entry;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
87;R----------;TRF;BE;exit;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
88;R----------;TRF;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;423884
89;R----------;TRF;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;168330003
90;UK-IUK-----;IUK;BE;entry;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
91;UK-IUK-----;IUK;BE;exit;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
92;UK-IUK-----;IUK;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
93;UK-IUK-----;IUK;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;407655924
94;-----------;Distribution;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;144212
95;-----------;Distribution;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;478110992
96;-----------;Distribution;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
97;-----------;Distribution;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;477966781
98;-----------;Final Consumers;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
99;-----------;Final Consumers;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;258853960
100;-----------;Final Consumers;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
101;-----------;Final Consumers;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;259193181
102;-----------;LNG Terminals;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;51150960
103;-----------;LNG Terminals;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
104;-----------;LNG Terminals;BE;entry;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
105;-----------;LNG Terminals;BE;exit;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
106;-----------;LNG Terminals;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;37163982
107;-----------;LNG Terminals;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
108;-----------;Storage;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;107180136
109;-----------;Storage;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
110;-----------;Storage;BE;entry;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
111;-----------;Storage;BE;exit;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
112;-----------;Storage;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;121403136
113;-----------;Storage;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
114;-----------;Transmission;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;470647314
115;-----------;Transmission;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
116;-----------;Transmission;BE;entry;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
117;-----------;Transmission;BE;exit;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
118;-----------;Transmission;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;470598247
119;-----------;Transmission;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
120;BE-L-ZONE--;L-Zone;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;47040000
121;BE-L-ZONE--;L-Zone;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
122;BE-L-ZONE--;L-Zone;BE;entry;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
123;BE-L-ZONE--;L-Zone;BE;exit;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
124;BE-L-ZONE--;L-Zone;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
125;BE-L-ZONE--;L-Zone;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
126;DE-GASPOOL-;GASPOOL;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;88567344
127;DE-GASPOOL-;GASPOOL;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;151200
128;DE-GASPOOL-;GASPOOL;BE;entry;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
129;DE-GASPOOL-;GASPOOL;BE;exit;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
130;DE-GASPOOL-;GASPOOL;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;62106576
131;DE-GASPOOL-;GASPOOL;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
132;DE-NCG-----;NCG;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;34200000
133;DE-NCG-----;NCG;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;15360
134;DE-NCG-----;NCG;BE;entry;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
135;DE-NCG-----;NCG;BE;exit;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
136;DE-NCG-----;NCG;BE;entry;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;60493999
137;DE-NCG-----;NCG;BE;exit;Physical Flow;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
138;E-LUX------;BeLux;BE;entry;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
139;E-LUX------;BeLux;BE;exit;Allocation;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;47040000
140;E-LUX------;BeLux;BE;entry;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
141;E-LUX------;BeLux;BE;exit;Nomination/Renomination;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;WE;0
