;booking_platform_key;booking_platform_label;booking_platform_u_r_l;capacity_booking_status;capacity_type;data_set;direction_key;flow_status;general_remarks;id;id_point_type;indicator;interruption_calculation_remark;interruption_type;is_archived;is_cam_relevant;is_cmp_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;point_type;restoration_information;tso_eic_code;tso_item_identifier;unit;value
21;;;;;;1;exit;Provisional;;1Allocationday2018-01-112018-01-12DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T19:00:13+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-11T06:00:00+01:00;2018-01-12T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
22;;;;;;1;entry;Provisional;;1Allocationday2018-01-122018-01-13DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:32:18+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-12T06:00:00+01:00;2018-01-13T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
23;;;;;;1;exit;Provisional;;1Allocationday2018-01-122018-01-13DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:57:15+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-12T06:00:00+01:00;2018-01-13T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
24;;;;;;1;entry;Provisional;;1Allocationday2018-01-132018-01-14DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T19:25:47+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-13T06:00:00+01:00;2018-01-14T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
25;;;;;;1;exit;Provisional;;1Allocationday2018-01-132018-01-14DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:32:33+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-13T06:00:00+01:00;2018-01-14T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
26;;;;;;1;entry;Provisional;;1Allocationday2018-01-142018-01-15DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:47:55+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-14T06:00:00+01:00;2018-01-15T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
27;;;;;;1;exit;Provisional;;1Allocationday2018-01-142018-01-15DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T19:30:09+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-14T06:00:00+01:00;2018-01-15T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
28;;;;;;1;entry;Provisional;;1Allocationday2018-01-152018-01-16DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:32:18+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-15T06:00:00+01:00;2018-01-16T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
29;;;;;;1;exit;Provisional;;1Allocationday2018-01-152018-01-16DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:57:15+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-15T06:00:00+01:00;2018-01-16T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
30;;;;;;1;entry;Provisional;;1Allocationday2018-01-162018-01-17DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:58:57+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-16T06:00:00+01:00;2018-01-17T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
31;;;;;;1;exit;Provisional;;1Allocationday2018-01-162018-01-17DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:48:29+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-16T06:00:00+01:00;2018-01-17T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
32;;;;;;1;entry;Provisional;;1Allocationday2018-01-172018-01-18DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:47:55+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-17T06:00:00+01:00;2018-01-18T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
33;;;;;;1;exit;Provisional;;1Allocationday2018-01-172018-01-18DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T19:30:09+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-17T06:00:00+01:00;2018-01-18T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
34;;;;;;1;entry;Provisional;;1Allocationday2018-01-182018-01-19DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T19:25:47+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-18T06:00:00+01:00;2018-01-19T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
35;;;;;;1;exit;Provisional;;1Allocationday2018-01-182018-01-19DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:32:33+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-18T06:00:00+01:00;2018-01-19T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
36;;;;;;1;entry;Provisional;;1Allocationday2018-01-192018-01-20DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:58:57+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-19T06:00:00+01:00;2018-01-20T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
37;;;;;;1;exit;Provisional;;1Allocationday2018-01-192018-01-20DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:48:29+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-19T06:00:00+01:00;2018-01-20T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
38;;;;;;1;entry;Provisional;;1Allocationday2018-01-202018-01-21DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:34:36+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-20T06:00:00+01:00;2018-01-21T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
